gameMap,gameMode,id,programId,firstName,lastName,alias,socialNetworkHandles,headshot,averageSpeed,highestStreak,untradedKills,untradedDeaths,tradedKills,tradedDeaths,inapplicableTradedKills,inapplicableTradedDeaths,damageTaken,damageHealed,tacticalsUsed,lethalsUsed,percentTimeMoving,deadSilenceTime,hillTime,contestedHillTime,esportsTournamentId,totalKills,totalDeaths,totalAssists,totalScore,totalShotsFired,totalShotsHit,totalShotsHead,totalDamageDealt,friendDamage,totalTimeAlive,totalDistanceTraveled,highestMultikill,totalAces,totalInVictimFovKills,totalDefuserKills,totalFirstBloodKills,totalLongshotKills,totalPlanterKills,totalPointblankKills,totalRevengeKills,totalRotationKills,totalInAttackerFovKills,totalWallbangKills,killDeathRatio,calculatedHillTime,objective1Time,objective2Time,objective3Time,objective4Time,objective5Time,team_type,oppo_abbrev,abbrev,team_id,bombsPlanted,bombsDefused,sneakDefuses,totalObjectivesCaptured,objectiveTiersContributed,matchGame.id,matchGame.matchId,matchGame.number,matchGame.createdAt,matchGame.updatedAt,matchGame.gameMap.Version,matchGame.gameMap.locale,matchGame.gameMap.uid,matchGame.gameMap.InProgress,matchGame.gameMap.abbreviatedName,matchGame.gameMap.createdAt,matchGame.gameMap.createdBy,matchGame.gameMap.description,matchGame.gameMap.desktopImage.src,matchGame.gameMap.displayName,matchGame.gameMap.mapId,matchGame.gameMap.mobileImage.src,matchGame.gameMap.shareStatsImage.src,matchGame.gameMap.tags,matchGame.gameMap.title,matchGame.gameMap.updatedAt,matchGame.gameMap.updatedBy,matchGame.gameMap.publishDetails.environment,matchGame.gameMap.publishDetails.locale,matchGame.gameMap.publishDetails.time,matchGame.gameMap.publishDetails.user,matchGameResult.hostGameScore,matchGameResult.guestGameScore,matchGameResult.winnerTeamId,matchGameResult.loserTeamId,homeTeamGamesWon,awayTeamGamesWon,winnerTeamId,loserTeamId,matchDate
Breenbergh Hotel,CDL Hardpoint,93,2,Adam,Garcia,Assault,"[{'socialNetworkType': 'TWITTER', 'handle': 'https://twitter.com/Assault'}, {'socialNetworkType': 'TWITCH', 'handle': 'https://www.twitch.tv/assaultszn'}]",https://www.callofduty.com/content/dam/activision/in-game-asset/callofduty/cdl/en/headshots/93.png,171.26321411132812,4,10,16,2,3,0,0,2048,78,16,11,92,0,23.0,0.0,"1.0,2,8749,19807,0",12,19,4,1680,234,74,6,2040,30,389760,43966.8515625,0,0,12,0,0,0,0,0,2,1,13,0,0.63,00:00,00:00,00:00,00:00,00:00,00:00,host,TX,LAG,11,,,,,,19807,8749,0,1665806987,1676762656,5,en-us,bltab7a33edbf6dcfc4,False,Breenbergh Hotel,2022-11-09T00:53:04.918Z,blt85aae568f2119ad8,Breenbergh Hotel,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt40d49d85bb7d2c49/636c14eb3debb436bf972bdd/cdl-map-256_breenburgh_hotel.webp?auto=webp,Breenbergh Hotel,Breenbergh Hotel,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt32587d48f533dc08/636c1510f17951383bcfbc8c/cdl-map-600_breeburgh_hotel.webp?auto=webp,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt6b987db91f9770f9/636c1e3fabdffc469fad216b/cdl-1920_0002_Breenburgh_Hotel.jpg?auto=webp,[],Breenburgh Hotel,2022-12-03T02:04:30.718Z,blt85aae568f2119ad8,blt32369acdba41f6a8,en-us,2022-12-05T10:02:00.334Z,blte5475d8d4c1a4efe,127,250,6,11,2,3,6,11,2023-04-02T23:54:45.240Z
Breenbergh Hotel,CDL Hardpoint,42,2,Anthony,Cuevas-Castro,Shotzzy,"[{'socialNetworkType': 'TWITTER', 'handle': 'https://twitter.com/Shotzzy'}]",https://www.callofduty.com/content/dam/activision/in-game-asset/callofduty/cdl/en/headshots/42.png,180.92147827148438,3,12,12,5,3,0,0,2159,649,8,6,96,91,79.0,1.0,"1.0,2,8749,19807,0",17,15,6,3240,277,81,12,1834,0,419584,52262.7265625,0,0,16,0,0,1,0,0,3,3,17,0,1.13,00:00,00:00,00:00,00:00,00:00,00:00,guest,LAG,TX,6,,,,,,19807,8749,0,1665806987,1676762656,5,en-us,bltab7a33edbf6dcfc4,False,Breenbergh Hotel,2022-11-09T00:53:04.918Z,blt85aae568f2119ad8,Breenbergh Hotel,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt40d49d85bb7d2c49/636c14eb3debb436bf972bdd/cdl-map-256_breenburgh_hotel.webp?auto=webp,Breenbergh Hotel,Breenbergh Hotel,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt32587d48f533dc08/636c1510f17951383bcfbc8c/cdl-map-600_breeburgh_hotel.webp?auto=webp,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt6b987db91f9770f9/636c1e3fabdffc469fad216b/cdl-1920_0002_Breenburgh_Hotel.jpg?auto=webp,[],Breenburgh Hotel,2022-12-03T02:04:30.718Z,blt85aae568f2119ad8,blt32369acdba41f6a8,en-us,2022-12-05T10:02:00.334Z,blte5475d8d4c1a4efe,127,250,6,11,2,3,6,11,2023-04-02T23:54:45.240Z
Breenbergh Hotel,CDL Hardpoint,112,2,Alec,Sanderson,Arcitys,"[{'socialNetworkType': 'TWITTER', 'handle': 'https://twitter.com/Arcitys'}, {'socialNetworkType': 'TWITCH', 'handle': 'https://www.twitch.tv/arcitys'}]",https://www.callofduty.com/content/dam/activision/in-game-asset/callofduty/cdl/en/headshots/112.png,195.940673828125,2,8,16,4,3,0,0,2122,222,15,12,91,0,54.0,6.0,"1.0,2,8749,19807,0",12,19,3,2240,211,60,4,1696,31,399920,47891.16796875,0,0,8,0,0,0,0,0,1,1,12,0,0.63,00:00,00:00,00:00,00:00,00:00,00:00,host,TX,LAG,11,,,,,,19807,8749,0,1665806987,1676762656,5,en-us,bltab7a33edbf6dcfc4,False,Breenbergh Hotel,2022-11-09T00:53:04.918Z,blt85aae568f2119ad8,Breenbergh Hotel,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt40d49d85bb7d2c49/636c14eb3debb436bf972bdd/cdl-map-256_breenburgh_hotel.webp?auto=webp,Breenbergh Hotel,Breenbergh Hotel,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt32587d48f533dc08/636c1510f17951383bcfbc8c/cdl-map-600_breeburgh_hotel.webp?auto=webp,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt6b987db91f9770f9/636c1e3fabdffc469fad216b/cdl-1920_0002_Breenburgh_Hotel.jpg?auto=webp,[],Breenburgh Hotel,2022-12-03T02:04:30.718Z,blt85aae568f2119ad8,blt32369acdba41f6a8,en-us,2022-12-05T10:02:00.334Z,blte5475d8d4c1a4efe,127,250,6,11,2,3,6,11,2023-04-02T23:54:45.240Z
Breenbergh Hotel,CDL Hardpoint,51,2,Cuyler,Garland,Huke,"[{'socialNetworkType': 'TWITTER', 'handle': 'https://twitter.com/Huke'}, {'socialNetworkType': 'TWITCH', 'handle': 'https://www.twitch.tv/huke'}]",https://www.callofduty.com/content/dam/activision/in-game-asset/callofduty/cdl/en/headshots/51.png,183.8101348876953,5,16,9,4,4,0,0,1936,608,9,7,93,96,60.0,8.0,"1.0,2,8749,19807,0",20,13,7,3525,321,96,5,2326,0,431168,55624.94140625,0,0,15,0,0,1,0,0,3,4,20,0,1.54,00:00,00:00,00:00,00:00,00:00,00:00,guest,LAG,TX,6,,,,,,19807,8749,0,1665806987,1676762656,5,en-us,bltab7a33edbf6dcfc4,False,Breenbergh Hotel,2022-11-09T00:53:04.918Z,blt85aae568f2119ad8,Breenbergh Hotel,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt40d49d85bb7d2c49/636c14eb3debb436bf972bdd/cdl-map-256_breenburgh_hotel.webp?auto=webp,Breenbergh Hotel,Breenbergh Hotel,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt32587d48f533dc08/636c1510f17951383bcfbc8c/cdl-map-600_breeburgh_hotel.webp?auto=webp,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt6b987db91f9770f9/636c1e3fabdffc469fad216b/cdl-1920_0002_Breenburgh_Hotel.jpg?auto=webp,[],Breenburgh Hotel,2022-12-03T02:04:30.718Z,blt85aae568f2119ad8,blt32369acdba41f6a8,en-us,2022-12-05T10:02:00.334Z,blte5475d8d4c1a4efe,127,250,6,11,2,3,6,11,2023-04-02T23:54:45.240Z
Breenbergh Hotel,CDL Hardpoint,217,2,Kaden,Stockdale,Exceed,"[{'socialNetworkType': 'TWITTER', 'handle': 'https://twitter.com/ExceedLbX'}]",https://www.callofduty.com/content/dam/activision/in-game-asset/callofduty/cdl/en/headshots/217.png,176.97207641601562,9,20,12,2,3,0,0,2191,491,13,6,94,86,27.0,4.0,"1.0,2,8749,19807,0",22,15,3,3270,300,92,8,2310,2,413216,46484.51953125,0,0,18,0,0,1,0,1,3,4,22,0,1.47,00:00,00:00,00:00,00:00,00:00,00:00,host,TX,LAG,11,,,,,,19807,8749,0,1665806987,1676762656,5,en-us,bltab7a33edbf6dcfc4,False,Breenbergh Hotel,2022-11-09T00:53:04.918Z,blt85aae568f2119ad8,Breenbergh Hotel,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt40d49d85bb7d2c49/636c14eb3debb436bf972bdd/cdl-map-256_breenburgh_hotel.webp?auto=webp,Breenbergh Hotel,Breenbergh Hotel,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt32587d48f533dc08/636c1510f17951383bcfbc8c/cdl-map-600_breeburgh_hotel.webp?auto=webp,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt6b987db91f9770f9/636c1e3fabdffc469fad216b/cdl-1920_0002_Breenburgh_Hotel.jpg?auto=webp,[],Breenburgh Hotel,2022-12-03T02:04:30.718Z,blt85aae568f2119ad8,blt32369acdba41f6a8,en-us,2022-12-05T10:02:00.334Z,blte5475d8d4c1a4efe,127,250,6,11,2,3,6,11,2023-04-02T23:54:45.240Z
Breenbergh Hotel,CDL Hardpoint,98,2,Brandon,Otell,Dashy,"[{'socialNetworkType': 'TWITTER', 'handle': 'https://twitter.com/DashySZN'}, {'socialNetworkType': 'TWITCH', 'handle': 'https://www.twitch.tv/Dashy'}]",https://www.callofduty.com/content/dam/activision/in-game-asset/callofduty/cdl/en/headshots/98.png,166.8915557861328,8,12,9,3,3,0,0,1521,321,7,5,92,0,101.0,2.0,"1.0,2,8749,19807,0",15,12,7,3660,214,77,9,2166,1,417968,47000.4765625,0,0,12,0,0,1,0,0,0,4,15,0,1.25,00:00,00:00,00:00,00:00,00:00,00:00,guest,LAG,TX,6,,,,,,19807,8749,0,1665806987,1676762656,5,en-us,bltab7a33edbf6dcfc4,False,Breenbergh Hotel,2022-11-09T00:53:04.918Z,blt85aae568f2119ad8,Breenbergh Hotel,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt40d49d85bb7d2c49/636c14eb3debb436bf972bdd/cdl-map-256_breenburgh_hotel.webp?auto=webp,Breenbergh Hotel,Breenbergh Hotel,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt32587d48f533dc08/636c1510f17951383bcfbc8c/cdl-map-600_breeburgh_hotel.webp?auto=webp,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt6b987db91f9770f9/636c1e3fabdffc469fad216b/cdl-1920_0002_Breenburgh_Hotel.jpg?auto=webp,[],Breenburgh Hotel,2022-12-03T02:04:30.718Z,blt85aae568f2119ad8,blt32369acdba41f6a8,en-us,2022-12-05T10:02:00.334Z,blte5475d8d4c1a4efe,127,250,6,11,2,3,6,11,2023-04-02T23:54:45.240Z
Breenbergh Hotel,CDL Hardpoint,550,2,Joseph,Romero,JoeDeceives,[],https://www.callofduty.com/content/dam/activision/in-game-asset/callofduty/cdl/en/headshots/550.png,177.89340209960938,2,3,11,3,6,0,0,1940,172,12,6,93,45,35.0,7.0,"1.0,2,8749,19807,0",6,17,5,1600,167,47,12,1349,0,406672,46486.13671875,0,0,5,0,0,1,0,0,3,2,6,0,0.35,00:00,00:00,00:00,00:00,00:00,00:00,host,TX,LAG,11,,,,,,19807,8749,0,1665806987,1676762656,5,en-us,bltab7a33edbf6dcfc4,False,Breenbergh Hotel,2022-11-09T00:53:04.918Z,blt85aae568f2119ad8,Breenbergh Hotel,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt40d49d85bb7d2c49/636c14eb3debb436bf972bdd/cdl-map-256_breenburgh_hotel.webp?auto=webp,Breenbergh Hotel,Breenbergh Hotel,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt32587d48f533dc08/636c1510f17951383bcfbc8c/cdl-map-600_breeburgh_hotel.webp?auto=webp,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt6b987db91f9770f9/636c1e3fabdffc469fad216b/cdl-1920_0002_Breenburgh_Hotel.jpg?auto=webp,[],Breenburgh Hotel,2022-12-03T02:04:30.718Z,blt85aae568f2119ad8,blt32369acdba41f6a8,en-us,2022-12-05T10:02:00.334Z,blte5475d8d4c1a4efe,127,250,6,11,2,3,6,11,2023-04-02T23:54:45.240Z
Breenbergh Hotel,CDL Hardpoint,572,2,Daniel,Rothe,Ghosty,[],https://telescope.callofduty.com/ts/codp/content/cdl/en/headshots/572.png,157.96670532226562,5,15,11,3,1,0,0,1780,402,10,9,89,0,133.0,2.0,"1.0,2,8749,19807,0",18,12,3,3670,291,69,3,1912,0,418704,44908.3828125,0,0,13,0,1,0,0,0,3,4,18,0,1.50,00:00,00:00,00:00,00:00,00:00,00:00,guest,LAG,TX,6,,,,,,19807,8749,0,1665806987,1676762656,5,en-us,bltab7a33edbf6dcfc4,False,Breenbergh Hotel,2022-11-09T00:53:04.918Z,blt85aae568f2119ad8,Breenbergh Hotel,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt40d49d85bb7d2c49/636c14eb3debb436bf972bdd/cdl-map-256_breenburgh_hotel.webp?auto=webp,Breenbergh Hotel,Breenbergh Hotel,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt32587d48f533dc08/636c1510f17951383bcfbc8c/cdl-map-600_breeburgh_hotel.webp?auto=webp,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt6b987db91f9770f9/636c1e3fabdffc469fad216b/cdl-1920_0002_Breenburgh_Hotel.jpg?auto=webp,[],Breenburgh Hotel,2022-12-03T02:04:30.718Z,blt85aae568f2119ad8,blt32369acdba41f6a8,en-us,2022-12-05T10:02:00.334Z,blte5475d8d4c1a4efe,127,250,6,11,2,3,6,11,2023-04-02T23:54:45.240Z
Mercado Las Almas,CDL SnD,93,2,Adam,Garcia,Assault,"[{'socialNetworkType': 'TWITTER', 'handle': 'https://twitter.com/Assault'}, {'socialNetworkType': 'TWITCH', 'handle': 'https://www.twitch.tv/assaultszn'}]",https://www.callofduty.com/content/dam/activision/in-game-asset/callofduty/cdl/en/headshots/93.png,86.18421936035156,3,6,4,1,2,0,1,1163,463,10,10,85,0,,,"1.0,2,8749,19808,1",7,7,6,1025,146,42,6,1145,1,563920,31667.888671875,0,0,6,0,1,1,0,0,0,0,7,0,1.00,00:00,00:00,00:00,00:00,00:00,00:00,host,TX,LAG,11,1.0,0.0,0.0,,,19808,8749,1,1665806987,1676763798,4,en-us,blte7e5653a9db4791e,False,Mercado Las Almas,2022-11-09T00:53:49.990Z,blt85aae568f2119ad8,Mercado Las Almas,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt456d46cae60eb124/636c14eb5e1b6d519cb60df5/cdl-map-256_marcado.webp?auto=webp,Mercado Las Almas,Mercado Las Almas,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/bltf00c1bd11e973080/636c1510c9f65846aa12845b/cdl-map-600_mercado.webp?auto=webp,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/bltc072be2f4185aad0/636c1e3f6f39e752dc3938ce/cdl-1920_0004_Mercado.jpg?auto=webp,[],Mercado Las Almas,2022-11-09T21:44:54.759Z,blt42192c9dc0a8617f,blt32369acdba41f6a8,en-us,2022-12-05T10:02:39.877Z,blte5475d8d4c1a4efe,6,4,11,6,2,3,6,11,2023-04-02T23:54:45.240Z
Mercado Las Almas,CDL SnD,42,2,Anthony,Cuevas-Castro,Shotzzy,"[{'socialNetworkType': 'TWITTER', 'handle': 'https://twitter.com/Shotzzy'}]",https://www.callofduty.com/content/dam/activision/in-game-asset/callofduty/cdl/en/headshots/42.png,107.70130157470703,2,4,7,1,0,2,1,863,63,6,8,62,48,,,"1.0,2,8749,19808,1",7,8,2,800,87,24,3,637,0,418288,43877.7734375,0,0,4,0,3,0,1,0,0,0,7,0,0.88,00:00,00:00,00:00,00:00,00:00,00:00,guest,LAG,TX,6,0.0,0.0,0.0,,,19808,8749,1,1665806987,1676763798,4,en-us,blte7e5653a9db4791e,False,Mercado Las Almas,2022-11-09T00:53:49.990Z,blt85aae568f2119ad8,Mercado Las Almas,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt456d46cae60eb124/636c14eb5e1b6d519cb60df5/cdl-map-256_marcado.webp?auto=webp,Mercado Las Almas,Mercado Las Almas,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/bltf00c1bd11e973080/636c1510c9f65846aa12845b/cdl-map-600_mercado.webp?auto=webp,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/bltc072be2f4185aad0/636c1e3f6f39e752dc3938ce/cdl-1920_0004_Mercado.jpg?auto=webp,[],Mercado Las Almas,2022-11-09T21:44:54.759Z,blt42192c9dc0a8617f,blt32369acdba41f6a8,en-us,2022-12-05T10:02:39.877Z,blte5475d8d4c1a4efe,6,4,11,6,2,3,6,11,2023-04-02T23:54:45.240Z
Mercado Las Almas,CDL SnD,112,2,Alec,Sanderson,Arcitys,"[{'socialNetworkType': 'TWITTER', 'handle': 'https://twitter.com/Arcitys'}, {'socialNetworkType': 'TWITCH', 'handle': 'https://www.twitch.tv/arcitys'}]",https://www.callofduty.com/content/dam/activision/in-game-asset/callofduty/cdl/en/headshots/112.png,108.275146484375,5,5,4,1,1,2,1,877,215,9,6,70,29,,,"1.0,2,8749,19808,1",8,6,0,600,148,37,3,935,132,466224,40165.13671875,0,0,6,0,2,0,0,0,0,0,8,0,1.33,00:00,00:00,00:00,00:00,00:00,00:00,host,TX,LAG,11,0.0,0.0,0.0,,,19808,8749,1,1665806987,1676763798,4,en-us,blte7e5653a9db4791e,False,Mercado Las Almas,2022-11-09T00:53:49.990Z,blt85aae568f2119ad8,Mercado Las Almas,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt456d46cae60eb124/636c14eb5e1b6d519cb60df5/cdl-map-256_marcado.webp?auto=webp,Mercado Las Almas,Mercado Las Almas,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/bltf00c1bd11e973080/636c1510c9f65846aa12845b/cdl-map-600_mercado.webp?auto=webp,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/bltc072be2f4185aad0/636c1e3f6f39e752dc3938ce/cdl-1920_0004_Mercado.jpg?auto=webp,[],Mercado Las Almas,2022-11-09T21:44:54.759Z,blt42192c9dc0a8617f,blt32369acdba41f6a8,en-us,2022-12-05T10:02:39.877Z,blte5475d8d4c1a4efe,6,4,11,6,2,3,6,11,2023-04-02T23:54:45.240Z
Mercado Las Almas,CDL SnD,51,2,Cuyler,Garland,Huke,"[{'socialNetworkType': 'TWITTER', 'handle': 'https://twitter.com/Huke'}, {'socialNetworkType': 'TWITCH', 'handle': 'https://www.twitch.tv/huke'}]",https://www.callofduty.com/content/dam/activision/in-game-asset/callofduty/cdl/en/headshots/51.png,81.63713073730469,5,5,8,2,1,1,0,1216,316,10,9,51,48,,,"1.0,2,8749,19808,1",8,9,2,750,108,30,1,821,0,376992,31942.3046875,0,0,8,0,2,0,0,0,0,0,8,0,0.89,00:00,00:00,00:00,00:00,00:00,00:00,guest,LAG,TX,6,0.0,0.0,0.0,,,19808,8749,1,1665806987,1676763798,4,en-us,blte7e5653a9db4791e,False,Mercado Las Almas,2022-11-09T00:53:49.990Z,blt85aae568f2119ad8,Mercado Las Almas,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt456d46cae60eb124/636c14eb5e1b6d519cb60df5/cdl-map-256_marcado.webp?auto=webp,Mercado Las Almas,Mercado Las Almas,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/bltf00c1bd11e973080/636c1510c9f65846aa12845b/cdl-map-600_mercado.webp?auto=webp,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/bltc072be2f4185aad0/636c1e3f6f39e752dc3938ce/cdl-1920_0004_Mercado.jpg?auto=webp,[],Mercado Las Almas,2022-11-09T21:44:54.759Z,blt42192c9dc0a8617f,blt32369acdba41f6a8,en-us,2022-12-05T10:02:39.877Z,blte5475d8d4c1a4efe,6,4,11,6,2,3,6,11,2023-04-02T23:54:45.240Z
Mercado Las Almas,CDL SnD,217,2,Kaden,Stockdale,Exceed,"[{'socialNetworkType': 'TWITTER', 'handle': 'https://twitter.com/ExceedLbX'}]",https://www.callofduty.com/content/dam/activision/in-game-asset/callofduty/cdl/en/headshots/217.png,103.51918029785156,5,9,4,2,2,1,1,795,95,8,6,73,45,,,"1.0,2,8749,19808,1",12,7,2,1150,114,35,0,1251,0,517616,38773.65234375,0,0,7,0,1,0,0,0,0,0,12,0,1.71,00:00,00:00,00:00,00:00,00:00,00:00,host,TX,LAG,11,0.0,0.0,0.0,,,19808,8749,1,1665806987,1676763798,4,en-us,blte7e5653a9db4791e,False,Mercado Las Almas,2022-11-09T00:53:49.990Z,blt85aae568f2119ad8,Mercado Las Almas,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/blt456d46cae60eb124/636c14eb5e1b6d519cb60df5/cdl-map-256_marcado.webp?auto=webp,Mercado Las Almas,Mercado Las Almas,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/bltf00c1bd11e973080/636c1510c9f65846aa12845b/cdl-map-600_mercado.webp?auto=webp,https://images.blz-contentstack.com/v3/assets/blta7b34f1f894a2422/bltc072be2f4185aad0/636c1e3f6f39e752dc3938ce/cdl-1920_0004_Mercado.jpg?auto=webp,[],Mercado Las Almas,2022-11-09T21:44:54.759Z,blt42192c9dc0a8617f,blt32369acdba41f6a8,en-us,2022-12-05T10:02:39.877Z,blte5475d8d4c1a4efe,6,4,11,6,2,3,6,11,2023-04-02T23:54:45.240Z
